City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tamiahua,21.2667,-97.45,86.49,61,15,8.97,MX,2021-07-24 17:29:28
1,Ndele,8.4109,20.6473,73.65,93,60,3.0,CF,2021-07-24 17:29:28
2,Ancud,-41.8697,-73.8203,46.22,70,100,4.94,CL,2021-07-24 17:29:28
3,Coquimbo,-29.9533,-71.3436,58.73,67,75,2.3,CL,2021-07-24 17:29:29
4,Caloundra,-26.8,153.1333,57.81,88,1,6.87,AU,2021-07-24 17:29:29
5,Atuona,-9.8,-139.0333,77.85,70,99,16.28,PF,2021-07-24 17:29:29
6,Barrow,71.2906,-156.7887,41.02,93,90,3.44,US,2021-07-24 17:25:01
7,Waipawa,-41.4122,175.5153,44.92,90,0,6.31,NZ,2021-07-24 17:29:30
8,Ajdabiya,30.7554,20.2263,80.2,64,0,20.09,LY,2021-07-24 17:29:30
9,Westport,41.1415,-73.3579,85.15,56,1,1.99,US,2021-07-24 17:26:13
10,Lagoa,39.05,-27.9833,71.08,95,13,14.9,PT,2021-07-24 17:29:31
11,Cape Town,-33.9258,18.4232,58.26,61,0,2.3,ZA,2021-07-24 17:29:31
12,Tuatapere,-46.1333,167.6833,38.82,83,100,7.54,NZ,2021-07-24 17:29:32
13,Albany,42.6001,-73.9662,82.62,51,7,3.4,US,2021-07-24 17:29:13
14,Dikson,73.5069,80.5464,38.03,96,100,31.14,RU,2021-07-24 17:29:32
15,Bredasdorp,-34.5322,20.0403,49.32,81,59,3.44,ZA,2021-07-24 17:29:33
16,Rikitea,-23.1203,-134.9692,68.77,55,0,2.33,PF,2021-07-24 17:29:33
17,Vaini,-21.2,-175.2,69.96,100,20,0.0,TO,2021-07-24 17:28:33
18,Hilo,19.7297,-155.09,76.62,94,90,6.91,US,2021-07-24 17:29:34
19,Leh,34.1667,77.5833,73.38,33,65,6.35,IN,2021-07-24 17:29:34
20,Mataura,-46.1927,168.8643,38.48,92,94,4.05,NZ,2021-07-24 17:29:34
21,Bethel,41.3712,-73.414,83.19,47,1,12.66,US,2021-07-24 17:29:35
22,Tasiilaq,65.6145,-37.6368,42.96,98,100,1.88,GL,2021-07-24 17:28:40
23,Ponta Do Sol,32.6667,-17.1,81.72,69,0,5.68,PT,2021-07-24 17:29:35
24,Umarga,17.8333,76.6167,75.34,85,100,16.06,IN,2021-07-24 17:29:35
25,Maturin,9.75,-63.1767,85.77,65,91,7.72,VE,2021-07-24 17:29:36
26,Turinsk,58.0458,63.696,64.69,68,99,3.2,RU,2021-07-24 17:29:36
27,Jamestown,42.097,-79.2353,80.19,59,1,5.99,US,2021-07-24 17:29:37
28,Port Elizabeth,-33.918,25.5701,59.29,72,0,13.8,ZA,2021-07-24 17:29:37
29,Clyde River,70.4692,-68.5914,35.83,93,90,11.5,CA,2021-07-24 17:29:37
30,Puerto Narino,-3.7703,-70.3831,85.95,49,100,2.71,CO,2021-07-24 17:29:38
31,Longyearbyen,78.2186,15.6401,46.24,76,75,5.75,SJ,2021-07-24 17:29:38
32,Mehamn,71.0357,27.8492,44.89,87,100,25.75,NO,2021-07-24 17:29:38
33,Wenling,28.3669,121.36,76.91,91,100,27.22,CN,2021-07-24 17:29:39
34,Ushuaia,-54.8,-68.3,38.82,87,40,5.75,AR,2021-07-24 17:29:10
35,Arraial Do Cabo,-22.9661,-42.0278,78.76,57,0,19.57,BR,2021-07-24 17:29:40
36,San Ramon,37.7799,-121.978,80.08,53,1,5.01,US,2021-07-24 17:27:06
37,Gamba,-2.65,10.0,72.93,75,31,8.97,GA,2021-07-24 17:29:40
38,Ornskoldsvik,63.2909,18.7153,76.15,50,75,10.36,SE,2021-07-24 17:29:40
39,Araouane,18.9048,-3.5265,106.41,17,20,10.74,ML,2021-07-24 17:29:41
40,Henties Bay,-22.116,14.2845,64.87,36,1,3.87,NA,2021-07-24 17:29:41
41,Tahlequah,35.9154,-94.97,91.08,58,1,6.91,US,2021-07-24 17:29:41
42,Hithadhoo,-0.6,73.0833,82.72,77,55,12.3,MV,2021-07-24 17:28:30
43,Sampit,-2.5333,112.95,72.91,94,19,2.68,ID,2021-07-24 17:29:42
44,Yellowknife,62.456,-114.3525,52.32,57,75,3.0,CA,2021-07-24 17:27:22
45,Havre,49.5833,0.3333,68.34,72,75,10.36,FR,2021-07-24 17:29:42
46,Hamilton,39.1834,-84.5333,87.21,61,1,1.01,US,2021-07-24 17:28:27
47,Kaitangata,-46.2817,169.8464,41.94,51,76,4.36,NZ,2021-07-24 17:29:43
48,Ko Samui,9.5357,99.9357,83.89,73,100,15.99,TH,2021-07-24 17:29:43
49,College,64.8569,-147.8028,60.46,94,75,0.0,US,2021-07-24 17:29:44
50,Xining,36.6167,101.7667,67.21,83,94,2.33,CN,2021-07-24 17:29:44
51,Pevek,69.7008,170.3133,37.18,93,94,5.68,RU,2021-07-24 17:29:45
52,Francistown,-21.17,27.5079,51.62,58,2,11.34,BW,2021-07-24 17:29:45
53,Sola,-13.8833,167.55,80.28,75,97,11.41,VU,2021-07-24 17:29:45
54,Portland,45.5234,-122.6762,78.69,62,1,1.99,US,2021-07-24 17:29:46
55,Bluff,-46.6,168.3333,38.8,76,90,11.77,NZ,2021-07-24 17:29:46
56,Tuktoyaktuk,69.4541,-133.0374,57.2,62,75,17.27,CA,2021-07-24 17:29:47
57,Castro,-24.7911,-50.0119,71.04,39,0,7.16,BR,2021-07-24 17:29:47
58,Punta Arenas,-53.15,-70.9167,42.91,75,75,14.97,CL,2021-07-24 17:29:47
59,Kapaa,22.0752,-159.319,79.12,81,90,4.0,US,2021-07-24 17:29:48
60,Mankono,8.0586,-6.1897,80.73,65,100,3.22,CI,2021-07-24 17:29:48
61,Busselton,-33.65,115.3333,56.08,75,97,15.7,AU,2021-07-24 17:28:32
62,Gushikawa,26.3544,127.8686,80.19,92,90,18.41,JP,2021-07-24 17:29:49
63,Edgewater,28.9889,-80.9023,92.37,70,75,14.97,US,2021-07-24 17:26:46
64,Cap-Aux-Meules,47.3821,-61.8597,62.65,72,75,13.8,CA,2021-07-24 17:29:49
65,Birao,10.2849,22.7882,83.79,55,82,5.35,CF,2021-07-24 17:29:49
66,Ayagoz,47.9714,80.4392,73.0,37,0,7.11,KZ,2021-07-24 17:29:50
67,Yulara,-25.2406,130.9889,42.64,61,69,5.75,AU,2021-07-24 17:29:50
68,Broome,42.2506,-75.833,81.63,55,20,1.01,US,2021-07-24 17:29:51
69,Havre-Saint-Pierre,50.2334,-63.5986,66.56,55,1,5.75,CA,2021-07-24 17:29:51
70,Mar Del Plata,-38.0023,-57.5575,55.0,63,0,13.0,AR,2021-07-24 17:29:38
71,Leningradskiy,69.3833,178.4167,37.33,93,98,4.18,RU,2021-07-24 17:29:51
72,Harrisburg,40.2737,-76.8844,85.71,52,1,5.99,US,2021-07-24 17:25:30
73,Bathsheba,13.2167,-59.5167,86.61,74,40,16.11,BB,2021-07-24 17:29:52
74,Empalme,27.9667,-110.8167,93.2,79,90,6.91,MX,2021-07-24 17:29:52
75,Kodiak,57.79,-152.4072,54.91,88,90,4.61,US,2021-07-24 17:29:53
76,Honningsvag,70.9821,25.9704,45.32,82,100,27.72,NO,2021-07-24 17:29:53
77,Richards Bay,-28.783,32.0377,57.15,75,22,6.33,ZA,2021-07-24 17:29:53
78,Zaysan,47.4667,84.8667,71.56,44,0,6.44,KZ,2021-07-24 17:29:54
79,Lithgow,-33.4833,150.15,43.56,97,98,16.06,AU,2021-07-24 17:29:54
80,Salalah,17.0151,54.0924,78.89,94,90,5.75,OM,2021-07-24 17:29:54
81,Puerto Ayora,-0.7393,-90.3518,78.76,85,34,10.0,EC,2021-07-24 17:29:55
82,Lieksa,63.3167,30.0167,61.36,59,100,1.48,FI,2021-07-24 17:29:55
83,Hobart,-42.8794,147.3294,45.27,77,99,5.99,AU,2021-07-24 17:25:14
84,Saint-Avertin,47.3636,0.7399,71.55,67,97,14.97,FR,2021-07-24 17:29:56
85,Praia Da Vitoria,38.7333,-27.0667,80.85,74,40,14.9,PT,2021-07-24 17:29:56
86,Flinders,-34.5833,150.8552,55.38,61,53,8.01,AU,2021-07-24 17:29:57
87,Khatanga,71.9667,102.5,59.99,91,95,10.36,RU,2021-07-24 17:29:57
88,Avarua,-21.2078,-159.775,71.65,78,40,4.61,CK,2021-07-24 17:26:21
89,Taperoa,-7.2075,-36.8267,87.51,29,4,15.64,BR,2021-07-24 17:29:58
90,Georgetown,5.4112,100.3354,85.89,81,20,0.0,MY,2021-07-24 17:29:58
91,Galich,58.3797,42.3475,54.84,58,54,1.61,RU,2021-07-24 17:29:58
92,Port Alfred,-33.5906,26.891,58.39,71,0,22.12,ZA,2021-07-24 17:29:59
93,Esperance,-33.8667,121.9,49.84,80,12,18.39,AU,2021-07-24 17:29:59
94,Talnakh,69.4865,88.3972,55.62,67,78,5.61,RU,2021-07-24 17:30:00
95,Takoradi,4.8845,-1.7554,77.52,71,84,8.88,GH,2021-07-24 17:30:00
96,Carnarvon,-24.8667,113.6333,62.67,70,40,9.22,AU,2021-07-24 17:30:00
